Nombre,Link de firma
Cole Sprouse,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/Cole%20Sprouse.jpg?raw=true
Emma Watson,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/Emma_Watson.png?raw=true
Barack Obama,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/Barack_Obama.png?raw=true
Harry Styles,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/Harry_styles.png?raw=true
Leonardo Dicaprio,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/Leonardo%20Dicaprio.jpg?raw=true
Mark Zuckerberg,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/Mark_Zuckerberg.png?raw=true
Scarlet Johansson,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/Scarlett_Johansson.png?raw=true
Tom Holland,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/tom%20holland.jpg?raw=true
Dua Lipa,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/Dua%20lipa.png?raw=true
Zendaya Maree,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/Zendaya.png?raw=true
Miranda Cosgrove,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/Miranda%20Cosgrove.jpg?raw=true
Ariana Grande,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/Ariana_Grande_autograph.svg.png?raw=true
Will Smith,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/1024px-Will_Smith's_signature.svg.png?raw=true
Donald Trump,https://github.com/Sambek99/Pyweekend_Photos/blob/main/Firmas/2560px-Donald_Trump_Signature.svg.png?raw=true
